('the',) : 188100
('crowds',) : 15
('fertility',) : 15
('norm',) : 15
('noticeably',) : 15
('celebrations',) : 15
('apples',) : 15
('usable',) : 15
('stratified',) : 15
('predators',) : 15
('martian',) : 15
('knock',) : 15
('cracks',) : 15
('circumference',) : 15
('soybeans',) : 15
('melts',) : 15
('oz',) : 15
('rolls',) : 15
('seemingly',) : 15
('mistaken',) : 15
('well-developed',) : 15
('evaporate',) : 15
('pulling',) : 15
('lifespan',) : 15
('denotes',) : 15
('spike',) : 15
('detecting',) : 15
('mid-tropospheric',) : 15
('134',) : 15
('finds',) : 15
('jordan',) : 15
('reads',) : 15
('java',) : 15
('seemed',) : 15
('incorrectly',) : 15
('south-east',) : 15
('three-quarters',) : 15
('deliberate',) : 15
('explosives',) : 15
('ignition',) : 15
('buoyant',) : 15
('hypotheses',) : 15
('heinz',) : 15
('gamma-ray',) : 15
('repeat',) : 15
('deco',) : 15
('single-cell',) : 15
('east-central',) : 15
('prominently',) : 15
('fabric',) : 15
('widest',) : 15
('1.25',) : 15
('trailing',) : 15
('ekman',) : 15
('collier',) : 15
('extra-tropical',) : 15
('attributable',) : 15
('slosh',) : 15
('basically',) : 15
('179',) : 15
('instant',) : 15
('folklore',) : 15
('life-threatening',) : 15
('outgoing',) : 15
('precedent',) : 15
('reactor',) : 15
('holder',) : 15
('photographed',) : 15
('wade',) : 15
('rime',) : 15
('990',) : 15
('stick',) : 15
('tries',) : 15
('20°',) : 15
('plentiful',) : 15
('statistically',) : 15
('exerts',) : 15
('hypothesized',) : 15
('exceptional',) : 15
('icing',) : 15
('roadway',) : 15
('addressing',) : 15
('marginally',) : 15
('interdisciplinary',) : 15
('implications',) : 15
('compilation',) : 15
('settings',) : 15
('hair',) : 15
('affluent',) : 15
('absorbs',) : 15
('farmer',) : 15
('escaping',) : 15
('trapping',) : 15
('peripheral',) : 15
('tight',) : 15
('therapy',) : 15
('1824',) : 15
('auditorium',) : 15
('reporters',) : 15
('mid-1980s',) : 15
('peach',) : 15
('timely',) : 15
('coincide',) : 15
('mid-19th',) : 15
('salty',) : 15
('tertiary',) : 15
('exploring',) : 15
('proving',) : 15
('colonialism',) : 15
('scotian',) : 15
('lópez',) : 15
('voyages',) : 15
('extracted',) : 15
('youngest',) : 15
('flourished',) : 15
('1869',) : 15
('uae',) : 15
('2030',) : 15
('exotic',) : 15
('beers',) : 15
('satisfy',) : 15
('kelvin',) : 15
('increment',) : 15
('donors',) : 15
('mistakes',) : 15
('judaism',) : 15
('holy',) : 15
('speculated',) : 15
('elder',) : 15
('clothes',) : 15
('ps',) : 15
('proponents',) : 15
('gw',) : 15
('displacing',) : 15
('assumptions',) : 15
('spelled',) : 15
('asking',) : 15
('gyroscope',) : 15
('noun',) : 15
('ancestor',) : 15
('galactic',) : 15
('depicting',) : 15
('surveying',) : 15
('simpler',) : 15
('pendulum',) : 15
('taller',) : 15
('listeners',) : 15
('synagogue',) : 15
('1778',) : 15
('draining',) : 15
('horseshoe',) : 15
('zimbabwe',) : 15
('isotope',) : 15
('5000',) : 15
('1918',) : 15
('commanders',) : 15
('vince',) : 15
('instrumented',) : 15
('affair',) : 15
('relayed',) : 15
('berry',) : 15
('appoint',) : 15
('saipan',) : 15
('ron',) : 15
('thoroughly',) : 15
('shortened',) : 15
('straightforward',) : 15
('poorer',) : 15
('adjectives',) : 15
('overflown',) : 15
('manifold',) : 15
('mirrors',) : 15
('112',) : 15
('doe',) : 15
('anti-submarine',) : 15
('abolition',) : 15
('suicide',) : 15
('alfred',) : 15
('accessed',) : 15
('beachfront',) : 15
('plaquemines',) : 15
('declarations',) : 15
('carroll',) : 15
('560',) : 15
('congressman',) : 15
('delegation',) : 15
('focal',) : 15
('phones',) : 15
('single-family',) : 15
('exuma',) : 15
('nurses',) : 15
('freeway',) : 15
('electrocuted',) : 15
('249',) : 15
('economists',) : 15
('ephc',) : 15
('outputs',) : 15
('1784',) : 15
('gary',) : 15
('rolled',) : 15
('advocates',) : 15
('clauses',) : 15
('supremacy',) : 15
('financed',) : 15
('rafael',) : 15
('legendary',) : 15
('ideals',) : 15
('culminated',) : 15
('exile',) : 15
('strained',) : 15
('abuse',) : 15
('oversaw',) : 15
('optional',) : 15
('onslaught',) : 15
('brazilians',) : 15
('porto',) : 15
('binding',) : 15
('jungle',) : 15
('default',) : 15
('fortaleza',) : 15
('functioning',) : 15
('seventh-day',) : 15
('adventist',) : 15
('securing',) : 15
('lucas',) : 15
('sinaloa',) : 15
('aruba',) : 15
('183',) : 15
('naples',) : 15
('75,000',) : 15
('126',) : 15
('experimentation',) : 15
('54th',) : 15
('marketed',) : 15
('steamboat',) : 15
('19,000',) : 15
('murray',) : 15
('avenues',) : 15
('suburb',) : 15
('faa',) : 15
('newest',) : 15
('augusta',) : 15
('african-americans',) : 15
('1874',) : 15
('sanctuary',) : 15
('certificate',) : 15
('resonance',) : 15
('sandbags',) : 15
('flood-prone',) : 15
('artwork',) : 15
('warehouses',) : 15
('console',) : 15
('telecommunication',) : 15
('clutter',) : 15
('ppi',) : 15
('aquarium',) : 15
('1960.',) : 15
('transmitters',) : 15
('upset',) : 15
('degenerating',) : 15
('button',) : 15
('ambitious',) : 15
('upgrades',) : 15
('constructions',) : 15
('poetic',) : 15
('muhammad',) : 15
("'i",) : 15
('prisoner',) : 15
('heroic',) : 15
('tu',) : 15
('english-language',) : 15
('taínos',) : 15
('ancestral',) : 15
('mounds',) : 15
('fury',) : 15
('corozal',) : 15
('expectations',) : 15
('mesoamerican',) : 15
('1878',) : 15
('truman',) : 15
('139',) : 15
('economist',) : 15
('torture',) : 15
('duck',) : 15
('rushed',) : 15
('mona',) : 15
('curfew',) : 15
('commentators',) : 15
('soto',) : 15
('federalist',) : 15
('emancipation',) : 15
('motto',) : 15
('census-designated',) : 15
('polls',) : 15
('administrators',) : 15
('rangers',) : 15
('revitalization',) : 15
('humanities',) : 15
('boss',) : 15
('patterson',) : 15
('koreans',) : 15
('nacional',) : 15
('nayarit',) : 15
('playa',) : 15
('1774',) : 15
('lutheran',) : 15
('chamorros',) : 15
('qualifying',) : 15
('authorization',) : 15
('coatzacoalcos',) : 15
('grapefruit',) : 15
('inaugural',) : 15
('uniforms',) : 15
('bruins',) : 15
("o'brien",) : 15
('whale',) : 15
('usda',) : 15
('barnard',) : 15
('uniformed',) : 15
('half-life',) : 15
('12c',) : 15
('byrd',) : 15
('biking',) : 15
('striped',) : 15
('nesdis',) : 15
('marker',) : 15
('conway',) : 15
('pinball',) : 15
('uscgc',) : 15
('nags',) : 15
('bonus',) : 15
('denzel',) : 15
('malt',) : 15
('rod',) : 15
('discography',) : 15
('rap',) : 15
('mint',) : 15
('santurce',) : 15
('providenciales',) : 15
('garrett',) : 15
('1781',) : 15
('lehigh',) : 15
('mellon',) : 15
('fares',) : 15
('horry',) : 15
('unroofed',) : 15
('ib',) : 15
('fera',) : 15
('gennady',) : 15
('humboldt',) : 14
('gyres',) : 14
('overlying',) : 14
('coefficients',) : 14
('agni',) : 14
('projectiles',) : 14
('sheared',) : 14
('shingles',) : 14
('roofing',) : 14
('underestimated',) : 14
('niño-southern',) : 14
('3000-year',) : 14
('500–1000',) : 14
('mit',) : 14
('re-attained',) : 14
('deliberately',) : 14
('convair',) : 14
('pumping',) : 14
('characterised',) : 14
('muscle',) : 14
('tissues',) : 14
('sergey',) : 14
('classrooms',) : 14
('habitation',) : 14
('poisk',) : 14
('orlan',) : 14
('breathing',) : 14
('cosmology',) : 14
('luke',) : 14
('demonstration',) : 14
('elektron',) : 14
('124',) : 14
('consume',) : 14
('ku',) : 14
('updates',) : 14
('ventilation',) : 14
('criticised',) : 14
('herself',) : 14
('sequences',) : 14
('410',) : 14
('adjustment',) : 14
('trackers',) : 14
('locked',) : 14
('subsystems',) : 14
('faulty',) : 14
('drifts',) : 14
('lunch',) : 14
('flexible',) : 14
('immune',) : 14
('fincke',) : 14
('cardiovascular',) : 14
('departing',) : 14
('spends',) : 14
('multimedia',) : 14
('enhances',) : 14
('mask',) : 14
('spiraling',) : 14
('microscale',) : 14
('surface-based',) : 14
('inverted',) : 14
('twister',) : 14
('mistakenly',) : 14
('qualities',) : 14
('diversified',) : 14
('researched',) : 14
('saltwater',) : 14
('constituents',) : 14
('incorporation',) : 14
('absorbing',) : 14
('predictable',) : 14
('subpolar',) : 14
('vernal',) : 14
('capricorn',) : 14
('andes',) : 14
('feast',) : 14
('distinguishes',) : 14
('buddhists',) : 14
('shed',) : 14
('germanic',) : 14
('promotes',) : 14
('wherever',) : 14
('tundra',) : 14
('hubs',) : 14
('guyana',) : 14
('headwind',) : 14
('barton',) : 14
('cirriform',) : 14
('structured',) : 14
('fuller',) : 14
('outcomes',) : 14
('unpredictable',) : 14
('problematic',) : 14
('radiate',) : 14
('133',) : 14
('edgar',) : 14
('silt',) : 14
('fossils',) : 14
('sahel',) : 14
('himalayas',) : 14
('surprisingly',) : 14
('whirls',) : 14
('tipping',) : 14
('traps',) : 14
('faults',) : 14
('inability',) : 14
('durham',) : 14
('1980.',) : 14
('895',) : 14
('alignment',) : 14
('overlap',) : 14
('directional',) : 14
('upslope',) : 14
('bernoulli',) : 14
('neglected',) : 14
('anomalous',) : 14
('flour',) : 14
('corners',) : 14
('920',) : 14
('moored',) : 14
('structurally',) : 14
('anchor',) : 14
('delimit',) : 14
('landsea',) : 14
('classifies',) : 14
('ft/s',) : 14
('pocket',) : 14
('mongolia',) : 14
('malta',) : 14
('icy',) : 14
('bounce',) : 14
('frames',) : 14
('2009–10',) : 14
('accompany',) : 14
('closures',) : 14
('95,000',) : 14
('0.01',) : 14
('dissemination',) : 14
('desirable',) : 14
('biome',) : 14
('simulate',) : 14
('qualitative',) : 14
('dried',) : 14
('centimeters',) : 14
('deviations',) : 14
('1852',) : 14
('attitudes',) : 14
('persistence',) : 14
('onward',) : 14
('snowmelt',) : 14
('fences',) : 14
('tibet',) : 14
('budgets',) : 14
('plotted',) : 14
('pregnant',) : 14
('chronic',) : 14
('epa',) : 14
('low-income',) : 14
('inform',) : 14
('analytical',) : 14
('compliance',) : 14
('lacks',) : 14
('caution',) : 14
('cheap',) : 14
('thermometer',) : 14
('1777',) : 14
('1804',) : 14
('constructing',) : 14
('broadcasters',) : 14
('logging',) : 14
('advancing',) : 14
('choosing',) : 14
('profits',) : 14
('invest',) : 14
('wartime',) : 14
('recommendation',) : 14
('chanchu',) : 14
('odyssey',) : 14
('geologically',) : 14
('ate',) : 14
('benefited',) : 14
('11.4',) : 14
('richest',) : 14
('fundy',) : 14
('lobster',) : 14
('exploit',) : 14
('mackerel',) : 14
('galleons',) : 14
('tsunamis',) : 14
('1,900',) : 14
('sit',) : 14
('southampton',) : 14
('commodities',) : 14
('blair',) : 14
('tension',) : 14
('meanings',) : 14
('enhancement',) : 14
('composite',) : 14
('alternate',) : 14
('harvests',) : 14
('swell',) : 14
('vle',) : 14
('partition',) : 14
('adopting',) : 14
('analyze',) : 14
('slot',) : 14
('divers',) : 14
('multiplying',) : 14
('sbc',) : 14
('conception',) : 14
('recycling',) : 14
('10.9',) : 14
('belts',) : 14
('km/s',) : 14
('walked',) : 14
('stabilized',) : 14
('8.2',) : 14
('hebrew',) : 14
('nuts',) : 14
('tosser',) : 14
('organs',) : 14
('pale',) : 14
('snyder',) : 14
('dune',) : 14
('c-130',) : 14
('gfs',) : 14
('alphabetical',) : 14
('examiner',) : 14
('submit',) : 14
('1997.',) : 14
('perfectly',) : 14
('blog',) : 14
('hokkaido',) : 14
('rota',) : 14
('refinery',) : 14
('odisha',) : 14
('graphs',) : 14
('watching',) : 14
('mach',) : 14
('reflections',) : 14
('prescott',) : 14
('0.8',) : 14
('purple',) : 14
('compatible',) : 14
('ensuing',) : 14
('deterrence',) : 14
('defenses',) : 14
('terrorists',) : 14
('republics',) : 14
('pursuing',) : 14
('cnn',) : 14
('moniker',) : 14
('12.5',) : 14
('rests',) : 14
('virtue',) : 14
('roy',) : 14
('salvage',) : 14
('escort',) : 14
('peninsulas',) : 14
('pending',) : 14
('designers',) : 14
('jeb',) : 14
('guardsmen',) : 14
('90,000',) : 14
('flowed',) : 14
('holly',) : 14
('phased',) : 14
('erupted',) : 14
('pecan',) : 14
('coinciding',) : 14
('25th',) : 14
('countless',) : 14
('ambassadors',) : 14
('medicare',) : 14
('postwar',) : 14
('swift',) : 14
('laguna',) : 14
('polities',) : 14
('peppers',) : 14
('iberian',) : 14
('nearing',) : 14
('unicameral',) : 14
('expressways',) : 14
('unicef',) : 14
('festivities',) : 14
('iconic',) : 14
('neoclassical',) : 14
('composer',) : 14
('singers',) : 14
('rooted',) : 14
('convinced',) : 14
('1822',) : 14
("d'état",) : 14
('ppp',) : 14
('regent',) : 14
('tactics',) : 14
('michel',) : 14
('23rd',) : 14
('innovations',) : 14
('finest',) : 14
('comic',) : 14
('graduation',) : 14
('windspeed',) : 14
('gert',) : 14
('bet',) : 14
('ncar',) : 14
('post-season',) : 14
('ruth',) : 14
('andersen',) : 14
('929',) : 14
('subscribers',) : 14
('stamps',) : 14
('cruises',) : 14
('bean',) : 14
('intention',) : 14
('exposition',) : 14
('earning',) : 14
('1965.',) : 14
('convened',) : 14
('fireworks',) : 14
('harlem',) : 14
('sharks',) : 14
('magnet',) : 14
('antebellum',) : 14
('negotiated',) : 14
('shawnee',) : 14
('southerners',) : 14
('barracks',) : 14
('worship',) : 14
('congregation',) : 14
('aqueous',) : 14
('pemex',) : 14
('poultry',) : 14
('depicts',) : 14
('snakes',) : 14
('wc-130j',) : 14
('lakeland',) : 14
('g-iv',) : 14
('probable',) : 14
('commit',) : 14
('cimaron',) : 14
('bassist',) : 14
('vocalist',) : 14
('leed',) : 14
('phrases',) : 14
('retracted',) : 14
('sentences',) : 14
('wholesale',) : 14
('punctuation',) : 14
('theogony',) : 14
('cilicia',) : 14
('jacques',) : 14
('missionary',) : 14
('qing',) : 14
('proclamation',) : 14
('garifuna',) : 14
('leon',) : 14
('pepper',) : 14
('1840',) : 14
('palms',) : 14
('mesoamerica',) : 14
('capes',) : 14
('tonsured',) : 14
('sixty',) : 14
('dismissed',) : 14
('invasions',) : 14
('ultra',) : 14
('greg',) : 14
('chest',) : 14
('vocal',) : 14
('lucayan',) : 14
('survivor',) : 14
('sixteenth',) : 14
('sturgeon',) : 14
('french-speaking',) : 14
('riot',) : 14
('cassidy',) : 14
('math',) : 14
('bimini',) : 14
('wicomico',) : 14
('dewey',) : 14
('developmental',) : 14
('pharmacy',) : 14
('interviews',) : 14
('pizza',) : 14
('funeral',) : 14
('decolonization',) : 14
('monterrey',) : 14
('1813',) : 14
('assassination',) : 14
('troop',) : 14
('chrysler',) : 14
('rockefeller',) : 14
('roberts',) : 14
('derailed',) : 14
('lorenzo',) : 14
('papantla',) : 14
('singing',) : 14
('progreso',) : 14
('bicycles',) : 14
('yankee',) : 14
('baltimore–washington',) : 14
('clams',) : 14
('leonard',) : 14
('editors',) : 14
('download',) : 14
('oceanfront',) : 14
('airing',) : 14
('williamson',) : 14
('advertised',) : 14
('directorate',) : 14
('listings',) : 14
('beth',) : 14
('worldcat',) : 14
('edwards',) : 14
('farragut',) : 14
('transboundary',) : 14
('shannon',) : 14
('smithfield',) : 14
('spitfire',) : 14
('buchanan',) : 14
('morrie',) : 14
('mendler',) : 14
('angelica',) : 14
('duel',) : 14
('ilse',) : 14
('bahamians',) : 14
('bald',) : 14
('wight',) : 14
('readied',) : 14
('powhatan',) : 14
('monongahela',) : 14
('assateague',) : 14
('merritt',) : 14
('hines',) : 14
('rka',) : 14
('x-15',) : 14
('aleksandr',) : 14
('rcc',) : 14
('antonelli',) : 14
('s-ivb',) : 14
('watt',) : 13
('formulation',) : 13
('wind-driven',) : 13
('initiating',) : 13
('cease',) : 13
('hurricane/typhoon',) : 13
('promptly',) : 13
('crowded',) : 13
('raises',) : 13
('borne',) : 13
('barrow',) : 13
('recurving',) : 13
('10–20',) : 13
('1–2',) : 13
('251',) : 13
('208',) : 13
('trusses',) : 13
('interplanetary',) : 13
('examine',) : 13
('oxides',) : 13
('engaging',) : 13
('pioneering',) : 13
('sleeping',) : 13
('kurs',) : 13
('hatches',) : 13
('dos-8',) : 13
('handles',) : 13
('robotics',) : 13
('shutters',) : 13
('mrm-1',) : 13
('integrity',) : 13
('tiles',) : 13
('walks',) : 13
('insulating',) : 13
('controller',) : 13
('avoided',) : 13
('toilets',) : 13
('disposal',) : 13
('symptoms',) : 13
('sanctions',) : 13
('reflective',) : 13
('triangles',) : 13
('re-strengthen',) : 13
('mystery',) : 13
('converge',) : 13
('rainband',) : 13
('spacing',) : 13
('asiatic',) : 13
('1842',) : 13
('mid-levels',) : 13
('feeds',) : 13
('deepen',) : 13
('reptiles',) : 13
('one-half',) : 13
('biologists',) : 13
('latitudinal',) : 13
('attributes',) : 13
('hydrosphere',) : 13
('brook',) : 13
('nervous',) : 13
('fate',) : 13
('romantic',) : 13
('qualification',) : 13
('weathering',) : 13
('sodium',) : 13
('scientifically',) : 13
('conquer',) : 13
('nile',) : 13
('tips',) : 13
('romans',) : 13
('twilight',) : 13
('isles',) : 13
('eurasia',) : 13
('shortest',) : 13
('coincides',) : 13
('flower',) : 13
('intervening',) : 13
('commemorate',) : 13
('birthday',) : 13
('ensures',) : 13
('throw',) : 13
('pradesh',) : 13
('mesopotamia',) : 13
('contacts',) : 13
('alpine',) : 13
('heaven',) : 13
('implying',) : 13
('dakota',) : 13
('stuck',) : 13
('unaware',) : 13
('cannons',) : 13
('multi-level',) : 13
('jean-baptiste',) : 13
('glory',) : 13
('transpiration',) : 13
('demonstrating',) : 13
('curl',) : 13
('nutrient-rich',) : 13
('seasonally',) : 13
('reversal',) : 13
('grasslands',) : 13
('picks',) : 13
('depended',) : 13
('super-cooled',) : 13
('strokes',) : 13
('possessions',) : 13
('3,200',) : 13
('initiation',) : 13
('leg',) : 13
('dart',) : 13
('ignited',) : 13
('trunk',) : 13
('electromagnetism',) : 13
('asset',) : 13
('unicode',) : 13
('multi-cell',) : 13
('puts',) : 13
('colliding',) : 13
('manitoba',) : 13
('wrapped',) : 13
('f3',) : 13
('plata',) : 13
('flanders',) : 13
('chaos',) : 13
('malls',) : 13
('witnesses',) : 13
('obtaining',) : 13
('pollen',) : 13
('msl',) : 13
('alarm',) : 13
('xt',) : 13
('megawatts',) : 13
('882',) : 13
('potent',) : 13
('vecchi',) : 13
('submission',) : 13
('241',) : 13
('motorists',) : 13
('lebanon',) : 13
('snowstorms',) : 13
('taxi',) : 13
('grams',) : 13
('allegedly',) : 13
('waiʻaleʻale',) : 13
('permafrost',) : 13
('11.1',) : 13
('measurable',) : 13
('motivated',) : 13
('cleaner',) : 13
('avalanche',) : 13
('slush',) : 13
('boulder',) : 13
('denver',) : 13
('ceiling',) : 13
('downing',) : 13
('stalling',) : 13
('disintegrated',) : 13
('crystalline',) : 13
('transitions',) : 13
('successors',) : 13
('airfields',) : 13
('anticipate',) : 13
('4,500',) : 13
('relying',) : 13
('acquiring',) : 13
('8.8',) : 13
('dive',) : 13
('plumes',) : 13
('stagnant',) : 13
('imbalance',) : 13
('radiosonde',) : 13
('etc.',) : 13
('volatile',) : 13
('146',) : 13
('childhood',) : 13
('arguing',) : 13
('nord',) : 13
('extract',) : 13
('adelaide',) : 13
('interfere',) : 13
('dayton',) : 13
('respondents',) : 13
('110,000',) : 13
('halley',) : 13
('envisioned',) : 13
('1⁄2',) : 13
('168',) : 13
('captains',) : 13
('1845',) : 13
('indicative',) : 13
('futures',) : 13
('peacetime',) : 13
('iliad',) : 13
('pico',) : 13
('shorelines',) : 13
('abandon',) : 13
('mine',) : 13
('fished',) : 13
('fertilizer',) : 13
('migrations',) : 13
('louisville',) : 13
('ninety',) : 13
('indefinitely',) : 13
('reed',) : 13
('ming',) : 13
('treasure',) : 13
('kolkata',) : 13
('calories',) : 13
('ethanol',) : 13
('calcium',) : 13
('amino',) : 13
('acid-base',) : 13
('priest',) : 13
('transferring',) : 13
('ghg',) : 13
('asia-pacific',) : 13
('advantages',) : 13
('incentives',) : 13
('rooftop',) : 13
('implementing',) : 13
('hansen',) : 13
('prehistory',) : 13
('translational',) : 13
('exchanging',) : 13
('synodic',) : 13
('one-quarter',) : 13
('unsuccessfully',) : 13
('giovanni',) : 13
('1750',) : 13
('cos',) : 13
('helium',) : 13
('lateral',) : 13
('proceeds',) : 13
('thumb',) : 13
('1674',) : 13
('displaying',) : 13
('geophysics',) : 13
('lessened',) : 13
('undersea',) : 13
('shingle',) : 13
('fujian',) : 13
('niue',) : 13
('sul',) : 13
('1988.',) : 13
('moresby',) : 13
('objections',) : 13
('inconsistent',) : 13
('retire',) : 13
('reintroduced',) : 13
('brewed',) : 13
('outline',) : 13
('segregated',) : 13
('162',) : 13
('worker',) : 13
('gorda',) : 13
('amanda',) : 13
('jonathan',) : 13
('circulating',) : 13
('mosquito',) : 13
('7.7',) : 13
('8.6',) : 13
('execute',) : 13
('boosted',) : 13
('deter',) : 13
('terrorist',) : 13
('midst',) : 13
('disarmament',) : 13
('advocated',) : 13
('organised',) : 13
('prohibit',) : 13
('cp',) : 13
('respected',) : 13
('diffusive',) : 13
('narrowly',) : 13
('carathéodory',) : 13
('limb',) : 13
('wreck',) : 13
('richter',) : 13
('bilateral',) : 13
('deepwater',) : 13
('walton',) : 13
('brooks',) : 13
('shoot',) : 13
('speculation',) : 13
('rental',) : 13
('rapper',) : 13
('recalled',) : 13
('recovering',) : 13
('carl',) : 13
('northbound',) : 13
('hoped',) : 13
('holmes',) : 13
('brigade',) : 13
('battalion',) : 13
('six-year',) : 13
('facilitates',) : 13
('1785',) : 13
('priorities',) : 13
('vi',) : 13
('enumerated',) : 13
('overseeing',) : 13
('commander-in-chief',) : 13
('abolish',) : 13
('electorate',) : 13
('observatorio',) : 13
('requesting',) : 13
('precautionary',) : 13
('spanish–american',) : 13
('nominally',) : 13
('rulers',) : 13
('ahmad',) : 13
('throne',) : 13
('ottoman',) : 13
('viceroyalty',) : 13
('revolts',) : 13
('ramon',) : 13
('fulfill',) : 13
('bloc',) : 13
('similarities',) : 13
('personally',) : 13
('imf',) : 13
('mixed-race',) : 13
('182',) : 13
('hato',) : 13
('statues',) : 13
('saba',) : 13
('miracle',) : 13
('flores',) : 13
('above-average',) : 13
('fared',) : 13
('1807',) : 13
('1825',) : 13
('vargas',) : 13
('twitter',) : 13
('manufacturers',) : 13
('long-standing',) : 13
('orthography',) : 13
('lexicon',) : 13
('sacred',) : 13
('orchestras',) : 13
('saffir',) : 13
('calvin',) : 13
('garages',) : 13
('westwards',) : 13
('centred',) : 13
('jules',) : 13
('275',) : 13
('worsened',) : 13
('biography',) : 13
('afb',) : 13
('ileana',) : 13
('parentheses',) : 13
('regenerated',) : 13
('15.5',) : 13
('dios',) : 13
('10.2',) : 13
('obliterated',) : 13
('lagoons',) : 13
('redesigned',) : 13
('bypassed',) : 13
('employee',) : 13
('sherman',) : 13
('talbot',) : 13
('riverside',) : 13
('arda',) : 13
('longtime',) : 13
('quarterly',) : 13
('hip',) : 13
('hop',) : 13
('disabilities',) : 13
('trinity',) : 13
('renovations',) : 13
('iata',) : 13
('taino',) : 13
('micropolitan',) : 13
('shipment',) : 13
('garage',) : 13
('mythical',) : 13
('developers',) : 13
('divert',) : 13
('spencer',) : 13
('brønsted',) : 13
('hydronium',) : 13
('mérida',) : 13
('asks',) : 13
('exclude',) : 13
('burlington',) : 13
('thinking',) : 13
('surgery',) : 13
('shanshan',) : 13
('tsr',) : 13
('certification',) : 13
('countdown',) : 13
('purchases',) : 13
('100th',) : 13
('overtime',) : 13
('iraqi',) : 13
('prefixes',) : 13
('musician',) : 13
('tartarus',) : 13
('echidna',) : 13
('python',) : 13
('apollodorus',) : 13
('tragedy',) : 13
('dramas',) : 13
('galician',) : 13
('fastest-growing',) : 13
('blend',) : 13
('wore',) : 13
('drum',) : 13
('mussels',) : 13
('granting',) : 13
('genocide',) : 13
('inn',) : 13
('kuomintang',) : 13
('destroyers',) : 13
('killings',) : 13
('sheikh',) : 13
('coinage',) : 13
('exporter',) : 13
('pioneers',) : 13
('parades',) : 13
('roseau',) : 13
('55,000',) : 13
('147',) : 13
('bryant',) : 13
('lopez',) : 13
('enforce',) : 13
('secede',) : 13
('immigrated',) : 13
('vicksburg',) : 13
('cherokee',) : 13
('recruited',) : 13
('medicaid',) : 13
('re-emerged',) : 13
('holguín',) : 13
('logan',) : 13
('ft.',) : 13
('paralleling',) : 13
('motorcycle',) : 13
('randolph',) : 13
('mitchell',) : 13
('mesa',) : 13
('hawaiians',) : 13
('quotation',) : 13
('32,000',) : 13
('123',) : 13
('chips',) : 13
('mexico’s',) : 13
('ministerial',) : 13
('escarpment',) : 13
('rey',) : 13
('feedbacks',) : 13
('privatization',) : 13
('subscription',) : 13
('guardian',) : 13
("mi'kmaq",) : 13
('yankees',) : 13
('7.8',) : 13
('macfarlane',) : 13
('quakers',) : 13
('stonewall',) : 13
('equity',) : 13
('cornell',) : 13
('mtv',) : 13
("o'connor",) : 13
('duvalier',) : 13
('slogan',) : 13
('ballots',) : 13
('jacmel',) : 13
('cal',) : 13
('hyannis',) : 13
('otis',) : 13
('cole',) : 13
('pre-industrial',) : 13
('licensing',) : 13
('sponsors',) : 13
('affiliates',) : 13
('coat',) : 13
('8.1',) : 13
('reith',) : 13
('facebook',) : 13
('hif',) : 13
('busch',) : 13
('ounce',) : 13
('cbr600f',) : 13
('howey',) : 13
('tenders',) : 13
('scorpion',) : 13
('allmusic',) : 13
('timothy',) : 13
('burbank',) : 13
('badlands',) : 13
('infernal',) : 13
('minted',) : 13
('gracias',) : 13
('eastport',) : 13
('pelee',) : 13
('naca',) : 13
('peggy',) : 13
('basse-terre',) : 13
('islamorada',) : 13
('foale',) : 13
('duque',) : 13
('spacesuit',) : 13
('tma-02m',) : 13
('tma-22',) : 13
('besselian',) : 13
('cyclonically',) : 12
('coincident',) : 12
('222',) : 12
('governs',) : 12
('translates',) : 12
('feels',) : 12
('assumes',) : 12
('sustaining',) : 12
('1–3',) : 12
('infection',) : 12
('illnesses',) : 12
('9,800',) : 12
('180th',) : 12
('circulate',) : 12
('niño–southern',) : 12
('climatologists',) : 12
('hurricane-related',) : 12
('2,100',) : 12
('deteriorate',) : 12
('27,000',) : 12
('ventured',) : 12
('cygnus',) : 12
('eliminating',) : 12
('antimatter',) : 12
('appropriately',) : 12
('utilization',) : 12
('krikalev',) : 12
('feeling',) : 12
('aluminium',) : 12
('accommodations',) : 12
('comfortable',) : 12
('coolant',) : 12
('ibm',) : 12
('metallic',) : 12
('methodology',) : 12
('dinner',) : 12
('sealed',) : 12
('magnetosphere',) : 12
('tissue',) : 12
('fungi',) : 12
('shields',) : 12
('reuse',) : 12
('disappears',) : 12
('encircle',) : 12
('distinctly',) : 12
('subset',) : 12
('declines',) : 12
('rift',) : 12
('possess',) : 12
('estates',) : 12
('reproduction',) : 12
('colonized',) : 12
('implied',) : 12
('stormy',) : 12
('fiber',) : 12
('spectacular',) : 12
('autumnal',) : 12
('harmattan',) : 12
('coolest',) : 12
('designating',) : 12
('johannes',) : 12
('progresses',) : 12
('remember',) : 12
('3–4',) : 12
('customary',) : 12
('49th',) : 12
('needles',) : 12
('certainly',) : 12
('monsoonal',) : 12
('attending',) : 12
('celebrating',) : 12
('colours',) : 12
('assam',) : 12
('barley',) : 12
('romanian',) : 12
('textbooks',) : 12
('nigeria',) : 12
('resume',) : 12
('softball',) : 12
('discouraged',) : 12
('gaelic',) : 12
('possibilities',) : 12
('costume',) : 12
('unfortunately',) : 12
('nicaraguan',) : 12
('sunny',) : 12
('grazing',) : 12
('ghana',) : 12
('maturity',) : 12
('weights',) : 12
('surprised',) : 12
('inhibited',) : 12
('subfreezing',) : 12
